brand,category_focus,region,primary_retailers,marketplaces,priority_score,notes,retailers_with_public_api,retailers_need_alt_access,distribution_status,distribution_evidence_source,deprioritized_reason
Alaia,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Balenciaga,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Bally,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Bottega Veneta,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Brunello Cucinelli,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Burberry,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Canali,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Celine,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Chloe,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Dolce & Gabbana,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Ermenegildo Zegna,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Fendi,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Givenchy,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Gucci,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Hermes,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Khaite,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Kiton,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Loewe,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Loro Piana,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Max Mara,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Moncler,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Prada,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Saint Laurent,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Salvatore Ferragamo,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Self-Portrait,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
St. John,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
The Row,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Tod's,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Tom Ford,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Valentino,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Versace,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Zimmermann,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
A New Day,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Alfani,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Ava & Viv,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Calvin Klein,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Champion,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Chaps,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Charter Club,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Dockers,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Fruit of the Loom,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Goodfellow & Co,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Guess,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Hanes,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
INC International Concepts,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Izod,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Karen Scott,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Knox Rose,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Nautica,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
No Boundaries,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Scoop,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Style & Co,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Time and Tru,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Tommy Hilfiger,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Universal Thread,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Van Heusen,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Who What Wear,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
Wild Fable,"dresses,tops",US/Canada,Walmart;Target;Amazon;Macy's,Amazon;Walmart;Target,70,"Verify distribution, variants, and marketplace presence",Walmart;Amazon,Target;Macy's,unverified,,
& Other Stories,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
3.1 Phillip Lim,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
A Bathing Ape (BAPE),"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
A.L.C.,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
A.P.C.,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
AKRIS,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
ALEXANDER by Daymor,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
ASOS,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
ASTR The Label,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Abercrombie,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Abercrombie & Fitch,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Abound,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Acne Studios,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Adam et Rope,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Adrianna Papell,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Adrianna by Adrianna Papell,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Aerosoles,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Aetrex,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Agnona,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Agolde,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Aidan Mattox,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Aimee Kestenberg,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Aje,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Aje.,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Akris,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Akris Punto,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alberta Ferretti,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alegria,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alejandra Alonso Rojas,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alex Evenings,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alex Marie,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alex Perry,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alexander McQueen,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alexander Wang,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alexia Admor,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alexis,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alfred Dunner,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Ali & Jay,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alice + Olivia,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
AllSaints,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alohas,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alto Milano,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
